Year,Visitor Arrivals
1964,352832 
1965,366649 
1966,432937 
1967,476771 
1968,519004 
1969,608744 
1970,854419 
1971,660715 
1972,723744 
1973,784691 
1974,764246 
1975,811672 
1976,914772 
1977,1028140 
1978,1038875 
1979,1112606 
1980,1316632 
1981,1583043 
1982,1793164 
1983,1968461 
1984,2110346 
1985,2327047 
1986,2061526 
1987,2154864 
1988,2355412 
1989,2835064 
1990,3235860 
1991,3532651 
1992,3581540 
1993,3410447 
1994,3468055 
1995,3345274 
1996,3837113 
1997,4218208 
1998,4106057 
1999,4437863 
2000,4757146 
2001,4771555 
2002,5238963 
2003,5211725 
2004,6137905 
2005,6727926 
2006,7334077 
2007,8346969 
2008,8350835 
2009,6789658 
2010,8611175 
2011,6218752 
2012,8358105 
2013,10363918 
2014,13413473 
2015,19737409 
2016,24039700 
2017,28691073 
2018,31191856 
2019,31882049 
2020,4115828 
2021,245862 
2022,3832110 
2023,10712396 
